report_date,currency,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,accounts_receivable,prepayments,other_receivables,fixed_assets_net,construction_in_progress,capital_reserve,minority_interest
2025-09-30,CNY,256587161700.86,51753057846.45,55858862716.48,,5235061677.5,48151023229.0,,,4035935007.45,1256197800.0,5811949314.43,38763379268.53,,2822271882.72,7749027043.43,14473441763.35,269780788.48,,64664514.62,265705024872.85,210875009053.38,-1055242.36,25531737.62,21229757.91,,,,1374964415.72,8635060486.62
2025-06-30,CNY,245478396729.47,51644880716.93,54971731959.6,,2853742406.19,46779392366.04,,,4030736998.87,1256197800.0,5653654187.71,42842853450.65,,2952131468.88,5506895535.57,20634003830.54,279349382.11,,66154730.27,249135586262.75003,191651224639.3,778673.26,37961242.39,21504666.27,49933643.11,21759402821.17,2762214966.85,1374964415.72,10489049872.27
2025-03-31,CNY,266506714239.54,52199240419.27,54798455069.13,,2142658699.29,45861983155.51,,,4029631969.17,1256197800.0,5161058373.53,43870177560.85,,3744537818.44,8788014142.36,15104929268.86,308184663.81,,66555097.25,268190335170.39,209634889443.81,-6635743.01,15199312.09,42883171.93,,,,1374964415.72,9832492493.98
2024-12-31,CNY,251726674636.66,59295822956.89,54343285157.47,248513280.0,2003382160.25,47217905282.04,,,4028978995.56,1256197800.0,5520006868.83,56515990618.96,,3514969230.31,9592453014.66,23102858820.97,417274179.14,,103367763.38,242011315120.6,182787415205.05,-9916224.69,18974192.75,26975033.2,29955673.47,21872513963.94,2149619937.05,1374964415.72,8905330721.13
2024-09-30,CNY,238419577361.93,60084745614.27,48224880009.62,200794360.04,1159177839.24,48351145595.76,,,4012020573.23,1256197800.0,5907973419.43,38723890549.12,,2652185045.16,9930767399.77,12434986061.3,358668170.4,,74818111.11,247688164238.17,192903581645.12997,-6367180.37,10131702.74,41754330.78,,,,1374964415.72,9978709237.89
2024-06-30,CNY,232257040097.43,56840349530.82,47766478732.37,3828563887.2,333100721.12,46950221069.2,,,4007580676.1,1256197800.0,4974111884.41,50806881664.47,,3291376926.17,9993058770.3,23537809237.19,355569852.88,,78156556.52,228044809649.28,173771640509.99002,-8272445.37,1358595.12,24307098.82,53598474.17,19833577460.59,2560368563.58,1374964415.72,9469201049.14
2024-03-31,CNY,237376996384.72,74197126391.43,46852227606.93,3812337429.4,213804940.68,48147546883.66,,,4004528610.65,1256197800.0,4477172963.01,36626674015.39,,4022842219.54,9523298229.75,8381544929.17,361100702.46,,80835441.75,248536768550.53,197048440674.24,-8109798.54,73124662.68,41204652.37,,,,1374964415.72,8804982639.98
2023-12-31,CNY,225172517821.28,69070136376.12,46435185061.53,400712059.93,74306850.41,47527142270.97,,,4002439902.57,1256197800.0,4645887425.1,48697611501.2,,3093091103.67,14125755802.29,12034492909.95,345579296.23,,78943062.19,223656469294.82,172983178300.09,-6061727.51,60373410.41,34585111.79,27502107.3,19910347872.77,2137464700.45,1374964415.72,7987897687.39
2023-09-30,CNY,218472857114.40997,70641010014.72,40990482220.34,3509435832.66,131214179.87,43603567657.06,,,4000854035.28,1256197800.0,4856537546.63,36663921439.78,,2152491940.59,11394683919.51,9525569802.49,393703572.28,,80437576.49,225018799759.40997,180127033586.31003,-9069167.81,131214179.87,110592961.98,,,,1374964415.72,7210174912.11
2023-06-30,CNY,203032616169.81,70521275705.21,40868431223.7,199920239.27,32571319.28,38571647846.53,,,,1256197800.0,4095357224.39,31955320013.26,,1982340479.67,7334210269.62,9293750788.21,401463911.12,,83899880.73,209247480091.96,163231231612.96,-5778072.71,32571319.28,102384498.68,60372027.65,19244237197.88,2678616338.35,1374964415.72,8331366122.91
