report_date,currency,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,cash_from_sales,tax_refunds_received,cash_paid_to_employees,taxes_paid,total_cash_inflow_from_operations,total_cash_outflow_from_operations,cash_from_investment_recovery,cash_from_investment_income,cash_from_asset_sales,total_cash_inflow_from_investing,total_cash_outflow_from_investing,cash_paid_for_dividends_and_interest,cash_paid_for_debt_repayment,total_cash_inflow_from_financing,total_cash_outflow_from_financing,beginning_cash_balance,ending_cash,ending_cash_equivalents
2025-09-30,CNY,38196802155.27,,,-5423368095.74,,,-43243803506.28,-10467626915.55,2742531.2,159502462342.28,138791719991.59,,12393481128.92,59108713942.04,136733522764.24,98536720608.97,13105136000.0,80202855.44,,13210134220.83,18633502316.57,37212595804.69,,0.0,43243803506.28,169970089257.83002,,
2025-06-30,CNY,13119061031.33,,,-314350963.69,,,-39892813631.78,-27084826601.16,3276962.98,142885262656.67,95086614960.23,,9965785368.0,41669889456.55,98002530175.18,84883469143.85,1345136000.0,37526953.08,,1385052952.66,1699403916.35,34671161737.19,,0.0,39892813631.78,169970089257.83002,134399293656.67,8485969000.0
2025-03-31,CNY,8809195646.38,,,-624221953.78,,,-1607488478.75,6578317798.5,832584.65,176548407056.33,56144062118.93,,7662338317.82,22168159368.57,50584251289.87,41775055643.49,245136000.0,32397280.0,,279233012.7,903454966.48,,,0.0,1607488478.75,169970089257.83002,,
2024-12-31,CNY,92463692168.43,,,-1785202630.71,,,-71067506484.81,19609900305.36,-1082747.55,169970089257.83002,182645203339.89,,15352541000.17,77055621533.11,200086334660.56,107622642492.13,8550000000.0,92382151.66,,8648630396.52,10433833027.23,70951027702.94,,0.0,71067506484.81,150360188952.47,164297949257.83002,5672140000.0
2024-09-30,CNY,44421386217.45,,,-605409055.95,,,-38989316464.81,4826595257.6,-65439.09,155186784210.07,129685318970.82,2818171.29,12669415741.48,56721478607.21,134638312525.1,90216926307.65,6200000000.0,68399488.96,,6274007035.88,6879416091.83,38942461843.34,,0.0,38989316464.81,150360188952.47,,
2024-06-30,CNY,36621833812.63,,,-2898860221.14,,,-38815639978.07,-5093365381.42,-698994.84,145266823571.05,87093638361.68,2818171.29,10031971465.62,38982312154.27,102242146671.06,65620312858.43,2600000000.0,31308120.34,,2636615182.26,5535475403.4,38786363272.8,,0.0,38815639978.07,150360188952.47,138266823571.05,7000000000.0
2024-03-31,CNY,9187422415.09,,,-766514727.33,,,-11756332.28,8408479527.43,-671828.05,158768668479.9,46257239517.26,,7199768652.65,20727491111.84,44545673036.62,35358250621.53,,27478516.34,,32666743.46,799181470.79,,,0.0,11756332.28,150360188952.47,,
2023-12-31,CNY,66593247721.09,,,-9724414015.16,,,-58889101991.94,-2018550030.36,1718255.65,150360188952.47,163699909417.62,1500047.04,13845293907.26,66683472509.22,168256168955.95,101662921234.86,7549947301.15,140715000.0,,7720216540.73,17444630555.89,58754786730.01,,0.0,58889101991.94,152378738982.83002,147360188952.47,3000000000.0
2023-09-30,CNY,50002007018.66,,,-8316439457.94,,,-34724722802.48,6961479712.09,634953.85,159340218694.92,111254177296.75,1500047.04,11136061054.97,49076873862.34,112510465347.75,62508458329.09,2000000000.0,129083173.8,,2133744637.43,10450184095.37,34661430615.94,,0.0,34724722802.48,152378738982.83002,,
2023-06-30,CNY,30387178194.96,,,-480141685.34,,,-32597493410.31,-2688539804.15,1917096.54,149690199178.68,69072814324.04,1500047.04,9000043619.79,32876326545.86,68789495031.45,38402316836.49,2000000000.0,127680000.0,,2129759433.53,2609901118.87,32549341195.8,,0.0,32597493410.31,152378738982.83002,144219657178.68,5470542000.0
2023-03-31,CNY,5244796293.93,,,218477578.11,,,-23119951.23,5440448931.41,295010.6,157819187914.24,35763459967.03,,6354715731.7,17181326473.45,31953539490.48,26708743196.55,2000000000.0,127680000.0,,2128147736.0,1909670157.89,,,0.0,23119951.23,152378738982.83002,,
2022-12-31,CNY,36698595830.03,,,-5536826334.9,,,-57424528979.83,-26261848396.69,911088.01,152378738982.83002,140691678592.0,33191912.56,11752241598.62,62043324506.36,137815874923.81,101117279093.78,,5880000.0,,11206911.18,5548033246.08,57370196191.46,,0.0,57424528979.83,178640587379.52,152378738982.83002,
2022-09-30,CNY,9405337008.75,,,-2670952435.78,,,-29864845719.65,-23131169756.94,-708610.26,155509417622.58,96027635243.02,,9455146335.76,48192236166.62,87046067888.94,77640730880.19,,,,5024544.18,2675976979.96,29822602393.46,,0.0,29864845719.65,178640587379.52,,
2022-06-30,CNY,-11163941.3,,,-1705454386.04,,,-28318526518.81,-30035798058.3,-653212.15,148604789321.22,61157046716.15,,7335852481.68,34105323790.19,59654302130.83,59665466072.13,,,,4133073.48,1709587459.52,28293301758.48,,0.0,28318526518.81,178640587379.52,148604789321.22,
2022-03-31,CNY,-6876059093.79,,,-1240126213.35,,,-3846050.69,-8120428335.92,-396978.09,170520159043.6,31487970469.66,,5432173619.58,18504128971.88,23413141364.37,30289200458.16,,,,2711461.48,1242837674.83,,,0.0,3846050.69,178640587379.52,,
