report_date,currency,revenue,operating_revenue,total_operating_costs,cost_of_revenue,operating_profit,selling_general_and_administrative_expenses,operating_expense,research_and_development,interest_expense,ebit,income_tax_expense,net_income,net_income_common_stock,net_income_non_controlling_interests,earnings_per_share,earnings_per_share_diluted,investment_income,fair_value_adjustments,asset_impairment_loss,financial_expenses,taxes_and_surcharges,other_comprehensive_income,total_comprehensive_income
2025-09-30,CNY,128453707655.86,,,,89489694566.48,,,,,,,,,,,,59165.27,,,-634730437.77,,,
2025-06-30,CNY,89389354416.84,,,,62768973374.37,,,,,,,,,,,,59165.27,,,-486644673.87,,,
2025-03-31,CNY,50600957885.78,,,,37036598228.0,,,,,,,,,,,,265351.99,,,-282549536.99,,,
2024-12-31,CNY,170899152276.34,,,,119688579453.23,,,,,,,,,,,,9130340.37,,,-1470219863.34,,,
2024-09-30,CNY,120776131874.69,,,,83996733560.98,,,,,,,,,,,,8019358.73,,,-1172804656.48,,,
2024-06-30,CNY,81930977667.75,,,,57550951619.01,,,,,,,,,,,,2288120.31,,,-894961239.26,,,
2024-03-31,CNY,45775517043.29,,,,33157339181.96,,,,,,,,,,,,1283616.07,,,-486783948.02,,,
2023-12-31,CNY,147693604994.14,,,,103708655208.38,,,,,,,,,,,,34025967.82,,,-1789503701.48,,,
2023-09-30,CNY,103268354688.44,,,,73171463156.46,,,,,,,,,,,,6080875.75,,,-1332267887.99,,,
2023-06-30,CNY,69576019445.77,,,,49891753180.54,,,,,,,,,,,,4078666.67,,,-871240079.13,,,
2023-03-31,CNY,38755812096.89,,,,28685886991.92,,,,,,,,,,,,4078666.67,,,-420323994.04,,,
2022-12-31,CNY,124099843771.99,,,,87879521782.39,,,,,,,,,,,,63840000.0,,,-1391805826.72,,,
2022-09-30,CNY,87160232759.05,,,,61961547199.61,,,,,,,,,,,,47880000.0,,,-1005471184.64,,,
2022-06-30,CNY,57616866647.29,,,,41634786520.42,,,,,,,,,,,,31920000.0,,,-667791757.03,,,
2022-03-31,CNY,32295763804.41,,,,24026868197.61,,,,,,,,,,,,15960000.0,,,-334383978.12,,,
2021-12-31,CNY,106190154843.76,,,,74750880777.52,,,,,,,,,,,,58255937.39,,,-934523406.02,,,
2021-09-30,CNY,74642203802.55,,,,53022962436.42,,,,,,,,,,,,43801333.33,,,-613412185.94,,,
2021-06-30,CNY,49087277796.01,,,,35071768181.08,,,,,,,,,,,,27841333.33,,,-366127499.92,,,
2021-03-31,CNY,27270884813.14,,,,19714061303.51,,,,,,,,,,,,,,,-136091144.09,,,
2020-12-31,CNY,94915380916.72,,,,66635079882.38,,,,,,,,,,,,305631.46,,,-234610582.44,,,
2020-09-30,CNY,67214944638.48,,,,47985820569.68,,,,,,,,,,,,68175.91,,,-155303715.07,,,
2020-06-30,CNY,43952804663.5,,,,32080914607.01,,,,,,,,,,,,,,,-72845014.14,,,
2020-03-31,CNY,24405394535.33,,,,18560620625.58,,,,,,,,,,,,,,,-5135087.0,,,
2019-12-31,CNY,85429573467.25,,,,59041489276.14,,,,,,,,,,,,,,,7458015.66,,,
2019-09-30,CNY,60934658070.86,,,,43312307349.4,,,,,,,,,,,,,,,-541979.58,,,
2019-06-30,CNY,39487788339.74,,,,28397996330.73,,,,,,,,,,,,,,,-1912781.6,,,
2019-03-31,CNY,21644002712.86,,,,15996222276.98,,,,,,,,,,,,,,,-337499.25,,,
2018-12-31,CNY,73638872388.03,,,,51342987681.18,,,,,,,,,,,,,,-1289685.01,-3521209.23,,,
2018-09-30,CNY,52241669986.01,,,,35837919227.6,,,,,,,,,,,,,,-1221263.23,-4384064.29,,,
2018-06-30,CNY,33396709893.11,,,,22879895820.5,,,,,,,,,,,,,,-1221263.23,-4224584.95,,,
2018-03-31,CNY,17466166384.96,,,,12177678392.96,,,,,,,,,,,,,,,-3460582.58,,,
